file,cosine_similarity,l2_distance
sound_602_1.wav,0.6274629235267639,0.863176703453064
sound_602_2.wav,0.8304944038391113,0.5822467803955078
sound_603_0.wav,0.49807676672935486,1.0019214153289795
sound_603_1.wav,0.7953224778175354,0.6398086547851562
sound_603_2.wav,0.7653537392616272,0.6850493550300598
sound_604_0.wav,0.7728276252746582,0.67405104637146
sound_604_1.wav,0.7578795552253723,0.6958742737770081
sound_604_2.wav,0.8727913498878479,0.5043979287147522
sound_605_0.wav,0.7937663197517395,0.6422362923622131
sound_605_1.wav,0.44121381640434265,1.0571529865264893
sound_605_2.wav,0.6008889675140381,0.8934327960014343
sound_606_0.wav,0.4713311493396759,1.0282692909240723
sound_606_1.wav,0.44799503684043884,1.0507187843322754
sound_606_2.wav,0.44300246238708496,1.0554596185684204
sound_607_0.wav,0.7188535332679749,0.7498619556427002
sound_607_1.wav,0.8393080234527588,0.5669075846672058
sound_607_2.wav,0.22698737680912018,1.2433927059173584
sound_608_0.wav,0.749775230884552,0.707424521446228
sound_608_1.wav,0.8416135907173157,0.5628257393836975
sound_608_2.wav,0.7219861149787903,0.745672881603241
sound_609_0.wav,0.9242954850196838,0.389113187789917
sound_609_1.wav,0.745714545249939,0.7131416201591492
sound_609_2.wav,0.9757281541824341,0.2203262895345688
sound_60_0.wav,0.971837043762207,0.23733144998550415
sound_60_1.wav,0.9060415029525757,0.43349379301071167
sound_60_2.wav,0.8739080429077148,0.5021790862083435
sound_610_0.wav,0.7990036010742188,0.6340288519859314
sound_610_1.wav,0.46860241889953613,1.0309196710586548
sound_610_2.wav,0.3601697087287903,1.131220817565918
sound_611_0.wav,0.8219383358955383,0.5967607498168945
sound_611_1.wav,0.9433119297027588,0.3367134928703308
sound_611_2.wav,0.9466926455497742,0.3265193700790405
sound_612_0.wav,-0.20269633829593658,1.5509328842163086
sound_612_1.wav,0.48032325506210327,1.0194867849349976
sound_612_2.wav,0.849063515663147,0.5494297742843628
sound_613_0.wav,0.9878338575363159,0.15598873794078827
sound_613_1.wav,0.9340729117393494,0.36311742663383484
sound_613_2.wav,0.9112788438796997,0.42123910784721375
sound_614_0.wav,0.9611915946006775,0.2785983979701996
sound_614_1.wav,0.8695669174194336,0.5107508301734924
sound_614_2.wav,0.8810645341873169,0.4877203106880188
sound_615_0.wav,0.8855395913124084,0.478456974029541
sound_615_1.wav,0.6133755445480347,0.8793457746505737
sound_615_2.wav,0.8650961518287659,0.5194304585456848
sound_616_0.wav,0.9315413236618042,0.37002333998680115
sound_616_1.wav,0.9588125944137573,0.2870102524757385
sound_616_2.wav,0.8917882442474365,0.4652133285999298
sound_617_0.wav,0.2930123507976532,1.1891069412231445
sound_617_1.wav,0.5584047436714172,0.9397820830345154
sound_617_2.wav,0.6831430792808533,0.7960615754127502
sound_618_0.wav,0.9960123896598816,0.0893033891916275
sound_618_1.wav,0.9225955605506897,0.39345747232437134
sound_618_2.wav,0.9043155312538147,0.43745729327201843
sound_619_0.wav,0.788307785987854,0.6506800651550293
sound_619_1.wav,0.6144415736198425,0.8781325817108154
sound_619_2.wav,0.8866750597953796,0.4760776162147522
sound_61_0.wav,0.36598339676856995,1.1260697841644287
sound_61_1.wav,0.5380402207374573,0.9612072706222534
sound_61_2.wav,0.801825761795044,0.6295621991157532
sound_620_0.wav,0.8726282119750977,0.504721462726593
sound_620_1.wav,0.8553115129470825,0.5379378199577332
sound_620_2.wav,0.8313792943954468,0.5807249546051025
sound_621_0.wav,0.9204965829849243,0.39875680208206177
sound_621_1.wav,0.9328014254570007,0.36660245060920715
sound_621_2.wav,0.9106885194778442,0.4226384162902832
sound_622_0.wav,0.4299524426460266,1.0677523612976074
sound_622_1.wav,0.42877790331840515,1.0688518285751343
sound_622_2.wav,0.5388011932373047,0.9604154229164124
sound_623_0.wav,0.3404388725757599,1.1485304832458496
sound_623_1.wav,0.4409400224685669,1.0574119091033936
sound_623_2.wav,0.3187716007232666,1.167243242263794
sound_624_0.wav,0.7725080847740173,0.6745249629020691
sound_624_1.wav,0.8026407361030579,0.6282662749290466
sound_624_2.wav,0.842694878578186,0.5609012842178345
sound_625_0.wav,0.5365873575210571,0.9627176523208618
sound_625_1.wav,0.671375036239624,0.8107094764709473
sound_625_2.wav,0.331277072429657,1.1564799547195435
sound_626_0.wav,0.4078139662742615,1.08828866481781
sound_626_1.wav,0.6241698265075684,0.8669835329055786
sound_626_2.wav,0.44245103001594543,1.055981993675232
